"Participant","cond","Trial","Distance","Hit"
30,"goal",5,4,0
30,"goal",6,7,0
30,"goal",7,6,0
30,"goal",8,6,0
30,"goal",9,6,0
30,"goal",10,6,0
30,"goal",11,7,0
30,"goal",12,7,1
30,"goal",13,7,0
30,"goal",14,7,0
30,"goal",15,7,0
30,"goal",16,4,0
30,"goal",17,4,0
30,"goal",18,4,0
30,"goal",19,4,0
30,"goal",20,4,0
31,"performance",1,10,1
31,"performance",2,8,1
31,"performance",3,8,0
31,"performance",4,8,1
31,"performance",5,7,0
31,"performance",6,7,0
31,"performance",7,7,0
31,"performance",8,7,0
31,"performance",9,7,0
31,"performance",10,7,0
31,"performance",11,7,0
31,"performance",12,9,1
31,"performance",13,9,0
31,"performance",14,8,0
31,"performance",15,8,1
31,"performance",16,8,1
31,"performance",17,8,0
31,"performance",18,8,1
31,"performance",19,8,1
32,"goal",1,11,0
32,"goal",2,14,0
32,"goal",3,14,0
32,"goal",4,14,1
32,"goal",5,14,1
32,"goal",6,19,1
32,"goal",7,9,0
32,"goal",8,9,0
32,"goal",9,9,0
32,"goal",10,12,1
32,"goal",11,20,1
32,"goal",12,5,0
32,"goal",13,6,0
32,"goal",14,12,1
32,"goal",15,12,1
32,"goal",16,12,0
32,"goal",17,10,1
32,"goal",18,10,0
32,"goal",19,5,0
32,"goal",20,4,0
33,"performance",1,14,1
33,"performance",2,14,1
33,"performance",3,14,0
33,"performance",4,14,0
33,"performance",5,14,0
33,"performance",6,14,0
33,"performance",7,14,1
33,"performance",8,14,1
33,"performance",9,14,0
33,"performance",10,14,1
33,"performance",11,14,0
33,"performance",12,14,0
33,"performance",13,14,1
33,"performance",14,14,1
33,"performance",15,14,0
33,"performance",16,14,1
33,"performance",17,14,0
33,"performance",18,14,1
33,"performance",19,14,1
33,"performance",20,16,1
34,"goal",1,16,1
34,"goal",2,14,1
34,"goal",3,14,1
34,"goal",4,16,1
34,"goal",5,8,0
34,"goal",6,11,1
34,"goal",7,10,1
34,"goal",8,14,1
34,"goal",9,7,0
34,"goal",10,4,0
34,"goal",11,4,0
34,"goal",12,4,0
34,"goal",13,1,0
34,"goal",14,9,1
34,"goal",15,4,1
34,"goal",16,2,0
34,"goal",17,7,0
34,"goal",18,9,0
34,"goal",19,10,0
34,"goal",20,1,0
