Participant,cond,Trial,Distance,Hit
20,goal,9,5,No
20,goal,10,5,No
20,goal,11,2,No
20,goal,12,2,No
20,goal,13,2,Yes
20,goal,14,2,Yes
20,goal,15,2,No
20,goal,16,4,No
20,goal,17,4,No
20,goal,18,4,No
20,goal,19,4,No
20,goal,20,4,No
21,performance,1,18,Yes
21,performance,2,16,Yes
21,performance,3,14,Yes
21,performance,4,13,Yes
21,performance,5,11,No
21,performance,6,11,Yes
21,performance,7,11,Yes
21,performance,8,14,Yes
21,performance,9,13,No
21,performance,10,14,Yes
21,performance,11,14,Yes
21,performance,12,14,Yes
21,performance,13,14,Yes
21,performance,14,14,Yes
21,performance,15,14,Yes
21,performance,16,13,No
21,performance,17,13,No
21,performance,18,13,Yes
21,performance,19,13,Yes
21,performance,20,13,No
22,goal,1,17,Yes
22,goal,2,15,Yes
22,goal,3,14,No
22,goal,4,11,No
22,goal,5,16,Yes
22,goal,6,15,Yes
22,goal,7,14,Yes
22,goal,8,13,No
22,goal,9,16,Yes
22,goal,10,15,Yes
22,goal,11,13,Yes
22,goal,12,14,Yes
22,goal,13,15,No
22,goal,14,16,Yes
22,goal,15,17,Yes
22,goal,16,15,Yes
22,goal,17,15,Yes
22,goal,18,14,No
22,goal,19,13,Yes
22,goal,20,12,Yes
23,performance,1,18,Yes
23,performance,2,18,Yes
23,performance,3,18,Yes
23,performance,4,18,Yes
23,performance,5,18,Yes
23,performance,6,11,No
23,performance,7,11,Yes
23,performance,8,11,Yes
23,performance,9,11,No
23,performance,10,10,Yes
23,performance,11,10,Yes
23,performance,12,10,Yes
23,performance,13,10,Yes
23,performance,14,10,Yes
23,performance,15,9,No
23,performance,16,9,No
23,performance,17,9,No
23,performance,18,9,No
23,performance,19,11,Yes
23,performance,20,11,No
24,goal,1,16,Yes
24,goal,2,14,Yes
24,goal,3,10,No
24,goal,4,11,Yes
24,goal,5,10,Yes
24,goal,6,10,Yes
24,goal,7,9,No
24,goal,8,9,Yes
24,goal,9,9,Yes
24,goal,10,9,No
24,goal,11,10,No
24,goal,12,10,No
24,goal,13,12,No
24,goal,14,12,No
24,goal,15,12,Yes
24,goal,16,13,Yes
24,goal,17,12,Yes
24,goal,18,12,No
24,goal,19,10,No
24,goal,20,10,No
25,performance,1,14,No
25,performance,2,14,Yes
25,performance,3,14,Yes
25,performance,4,14,No
25,performance,5,14,Yes
25,performance,6,10,Yes
25,performance,7,10,No
25,performance,8,10,No
25,performance,9,10,Yes
25,performance,10,10,No
25,performance,11,9,No
25,performance,12,9,Yes
25,performance,13,9,Yes
25,performance,14,9,Yes
25,performance,15,9,No
25,performance,16,7,Yes
25,performance,17,7,No
25,performance,18,7,No
25,performance,19,7,No
25,performance,20,7,No
26,goal,1,18,Yes
26,goal,2,18,Yes
26,goal,3,18,Yes
26,goal,4,18,Yes
26,goal,5,18,Yes
26,goal,6,19,Yes
26,goal,7,19,Yes
26,goal,8,19,Yes
26,goal,9,19,Yes
26,goal,10,19,Yes
26,goal,11,19,Yes
